id,month-12,month-11,month-10,month-9,month-8,month-7,month-6,month-5,month-4,month-3,month-2,month-1
340,4,4,4,4,4,4,4,4,4,4,4,4
343,4,4,4,4,4,4,4,4,4,4,4,3
344,1,1,1,1,1,1,3,3,3,3,5,5
347,1,1,1,1,1,1,1,1,1,1,4,4
354,1,1,1,1,1,1,1,1,1,1,1,1
365,4,4,4,4,4,4,4,4,4,4,4,4
369,1,1,1,1,1,1,1,1,1,1,1,1
373,1,1,1,1,1,4,4,4,4,4,4,4
374,1,1,1,1,1,1,1,1,1,1,1,1
379,4,4,4,4,4,4,4,4,4,4,4,4
382,0,0,0,0,0,0,0,0,0,0,0,0
385,1,1,1,1,1,1,1,1,1,1,1,1
388,1,1,1,1,1,1,1,1,1,1,5,5
390,3,3,3,4,4,4,4,4,4,4,4,4
391,3,4,4,3,3,4,4,4,4,4,4,4
395,4,4,3,3,4,4,4,4,4,4,4,4
397,4,4,4,4,4,4,4,4,4,4,4,4
399,1,1,1,1,1,1,1,1,1,1,1,5
400,1,1,1,1,1,1,1,1,1,1,1,1
401,4,1,1,4,4,4,4,4,4,4,4,4
402,3,3,3,3,3,3,3,3,3,3,4,4
405,3,3,3,3,3,3,3,3,3,3,3,5
407,1,1,1,1,1,1,1,1,1,1,1,5
414,3,3,3,3,3,3,3,1,1,4,4,4
416,3,3,3,3,3,3,3,3,3,3,3,3
418,1,1,1,1,1,1,1,1,1,1,1,1
423,1,1,1,1,1,1,1,1,1,1,1,5
425,4,4,4,4,4,4,4,4,4,4,4,4
427,1,1,1,1,1,1,1,1,1,1,4,4
431,1,1,1,1,1,1,1,1,1,1,1,1
437,1,1,1,1,1,1,1,1,1,1,1,3
438,1,1,1,1,1,1,1,1,1,1,1,5
439,1,1,1,1,1,1,1,1,1,1,1,1
442,4,4,4,4,4,4,4,4,4,4,4,4
444,1,1,1,1,1,1,4,1,1,1,4,4
446,4,4,1,1,1,1,1,1,1,5,5,5
452,1,3,3,3,3,3,3,3,4,4,4,4
455,4,4,4,4,4,1,4,3,3,3,5,5
458,1,1,1,1,1,1,1,1,1,1,1,1
459,1,1,1,1,1,1,1,1,1,1,5,5
462,1,1,1,1,1,1,1,1,1,1,1,1
465,1,1,1,1,1,1,1,4,4,4,1,4
467,1,1,1,1,1,1,1,1,1,1,1,4
471,3,3,3,3,3,3,3,3,5,5,5,5
474,1,1,1,1,1,1,1,1,1,1,1,1
475,1,1,1,1,1,1,1,1,1,1,1,1
476,1,1,1,1,1,1,4,4,4,4,4,4
478,4,4,4,4,4,4,4,4,4,4,4,4
485,4,4,4,3,3,3,3,3,3,4,4,4
